p_partkey|p_name|p_mfgr|p_brand|p_type|p_size|p_container|p_retailprice|p_comment
16100|slate sandy frosted linen tan|Manufacturer#3|Brand#32|LARGE BURNISHED TIN|42|LG BOX|1016.10|ost carefully
16101|seashell maroon peach floral ghost|Manufacturer#3|Brand#34|SMALL BRUSHED COPPER|11|WRAP CAN|1017.10|lyly. furiously
16102|rose spring plum light frosted|Manufacturer#2|Brand#25|STANDARD PLATED NICKEL|2|JUMBO CASE|1018.10|ges w
16103|saddle goldenrod forest smoke maroon|Manufacturer#5|Brand#54|SMALL BURNISHED TIN|10|JUMBO BOX|1019.10|ages wake bli
16104|powder ivory linen dim navy|Manufacturer#2|Brand#25|SMALL ANODIZED TIN|16|MED CASE|1020.10| slyly alon
16105|sienna pink peru blush purple|Manufacturer#2|Brand#21|LARGE ANODIZED COPPER|30|JUMBO JAR|1021.10|the re
16106|peach sandy lemon pale snow|Manufacturer#2|Brand#22|PROMO POLISHED BRASS|32|WRAP DRUM|1022.10|. slyly final pack
16107|grey tan plum brown orchid|Manufacturer#2|Brand#25|STANDARD PLATED NICKEL|33|SM BOX|1023.10|resias. quickly eve
16108|forest pale floral blue dim|Manufacturer#3|Brand#34|MEDIUM BRUSHED BRASS|4|MED BOX|1024.10|bove the fluffily 
16109|snow blush almond midnight medium|Manufacturer#3|Brand#34|MEDIUM PLATED STEEL|48|MED PKG|1025.10|le fluffily reg
16110|goldenrod pale cornflower firebrick deep|Manufacturer#2|Brand#22|LARGE PLATED NICKEL|1|LG BAG|1026.11|r pearls nag ca
16111|forest lime indian aquamarine blue|Manufacturer#2|Brand#23|ECONOMY POLISHED COPPER|39|LG BAG|1027.11|? silent foxes caj
16112|brown cornflower cornsilk plum tomato|Manufacturer#3|Brand#32|LARGE BRUSHED STEEL|28|MED JAR|1028.11|ges are 
16113|wheat blue bisque navajo tomato|Manufacturer#2|Brand#22|SMALL BURNISHED BRASS|8|MED CAN|1029.11|ithely enticing pac
16114|snow sandy dim frosted tan|Manufacturer#4|Brand#45|MEDIUM POLISHED TIN|31|JUMBO CASE|1030.11| permanent d
16115|orange hot misty metallic cyan|Manufacturer#3|Brand#35|SMALL POLISHED STEEL|22|SM BAG|1031.11|sympt
16116|blue metallic lavender red chocolate|Manufacturer#3|Brand#35|PROMO PLATED TIN|39|SM BAG|1032.11| packages ab
16117|papaya indian plum snow metallic|Manufacturer#3|Brand#32|PROMO BRUSHED NICKEL|48|SM BOX|1033.11|en packages. regular 
16118|salmon burlywood tomato ivory midnight|Manufacturer#1|Brand#15|PROMO BRUSHED STEEL|39|MED CASE|1034.11| frays believe sl
16119|rosy seashell powder snow black|Manufacturer#3|Brand#31|ECONOMY BURNISHED NICKEL|43|WRAP PACK|1035.11|round the bold, un
16120|salmon peach indian black burnished|Manufacturer#5|Brand#54|STANDARD PLATED NICKEL|27|JUMBO BOX|1036.12| along the quickl
16121|brown red yellow blush goldenrod|Manufacturer#5|Brand#55|PROMO POLISHED STEEL|22|WRAP BAG|1037.12|y carefully regu
16122|seashell navy almond sandy mint|Manufacturer#5|Brand#54|SMALL POLISHED COPPER|27|MED JAR|1038.12|ding theod
16123|mint gainsboro lawn navajo aquamarine|Manufacturer#1|Brand#11|SMALL BRUSHED BRASS|25|MED PKG|1039.12|uickl
16124|violet dodger royal deep slate|Manufacturer#5|Brand#55|SMALL POLISHED COPPER|46|SM PACK|1040.12|x slyly
16125|chocolate dodger deep cream indian|Manufacturer#1|Brand#12|SMALL ANODIZED STEEL|22|SM JAR|1041.12| requests sleep
16126|bisque honeydew sky brown indian|Manufacturer#2|Brand#23|LARGE PLATED STEEL|7|SM BAG|1042.12|careful
16127|sandy mint steel hot chartreuse|Manufacturer#3|Brand#35|MEDIUM BURNISHED COPPER|22|MED BOX|1043.12|cial pinto
16128|magenta orange sky blanched linen|Manufacturer#2|Brand#23|STANDARD BURNISHED STEEL|11|WRAP PACK|1044.12|ns must ha
16129|cream plum olive orange rose|Manufacturer#2|Brand#21|MEDIUM ANODIZED COPPER|33|SM CASE|1045.12|ecial ideas.
16130|maroon snow royal saddle deep|Manufacturer#1|Brand#14|MEDIUM PLATED COPPER|39|WRAP PKG|1046.13|special excus
16131|rosy blanched saddle honeydew sandy|Manufacturer#1|Brand#14|STANDARD ANODIZED TIN|5|WRAP CAN|1047.13|y pac
16132|mint powder puff peru blanched|Manufacturer#5|Brand#52|ECONOMY PLATED BRASS|39|JUMBO PACK|1048.13|posits. quickly ironi
16133|orange mint almond beige aquamarine|Manufacturer#3|Brand#33|ECONOMY ANODIZED COPPER|5|SM PKG|1049.13|. fina
16134|cyan violet olive rosy grey|Manufacturer#5|Brand#52|PROMO PLATED BRASS|49|WRAP CASE|1050.13|kly fi
16135|medium purple peach misty frosted|Manufacturer#1|Brand#15|STANDARD ANODIZED NICKEL|41|LG CAN|1051.13| are blithely. deposi
16136|forest royal navajo indian lime|Manufacturer#5|Brand#52|LARGE BRUSHED COPPER|22|MED BOX|1052.13|s are. bli
16137|mint puff lemon misty chartreuse|Manufacturer#2|Brand#24|ECONOMY POLISHED NICKEL|15|WRAP BOX|1053.13|fter the
16138|snow khaki orange maroon puff|Manufacturer#5|Brand#55|ECONOMY PLATED STEEL|47|WRAP CASE|1054.13|regular accounts
16139|saddle plum khaki bisque tan|Manufacturer#5|Brand#55|STANDARD ANODIZED BRASS|41|JUMBO CAN|1055.13|special pl
16140|royal brown midnight salmon dim|Manufacturer#2|Brand#24|SMALL ANODIZED TIN|31|MED PACK|1056.14|ong the th
16141|turquoise peach blue steel cream|Manufacturer#2|Brand#25|PROMO BRUSHED BRASS|12|SM BAG|1057.14|ly. bravely unusua
16142|plum pink midnight puff chiffon|Manufacturer#2|Brand#21|LARGE ANODIZED TIN|28|JUMBO JAR|1058.14|onic deposits. 
16143|aquamarine lace chocolate bisque light|Manufacturer#2|Brand#21|SMALL PLATED BRASS|30|WRAP BOX|1059.14|gainst the
16144|midnight cyan green orange peru|Manufacturer#5|Brand#53|PROMO BURNISHED NICKEL|11|WRAP CAN|1060.14| ironic courts.
16145|misty deep royal slate thistle|Manufacturer#5|Brand#51|ECONOMY POLISHED STEEL|18|JUMBO BAG|1061.14|requests 
16146|yellow powder blush pink snow|Manufacturer#3|Brand#32|PROMO ANODIZED COPPER|19|WRAP PACK|1062.14|re fluffily final 
16147|maroon peach ivory sky misty|Manufacturer#3|Brand#32|MEDIUM BURNISHED COPPER|15|LG DRUM|1063.14|inst the bold foxe
16148|saddle midnight metallic hot powder|Manufacturer#4|Brand#45|MEDIUM PLATED NICKEL|48|LG DRUM|1064.14|s are furiously.
16149|antique turquoise sky navy tan|Manufacturer#5|Brand#52|MEDIUM PLATED STEEL|43|SM PKG|1065.14|ly. ironic, even r
16150|yellow ivory tan white purple|Manufacturer#2|Brand#21|STANDARD PLATED COPPER|43|WRAP BOX|1066.15| fina
16151|burlywood gainsboro ghost lemon slate|Manufacturer#1|Brand#14|STANDARD PLATED COPPER|16|MED CASE|1067.15|ully after the req
16152|sienna orchid papaya orange thistle|Manufacturer#2|Brand#25|SMALL BURNISHED TIN|11|LG PKG|1068.15|fily busy pin
16153|floral ivory drab papaya lavender|Manufacturer#3|Brand#33|PROMO BURNISHED BRASS|12|JUMBO JAR|1069.15|lve f
16154|beige burlywood red green cream|Manufacturer#2|Brand#25|LARGE PLATED TIN|19|MED BOX|1070.15| the carefully even p
16155|lace bisque magenta powder thistle|Manufacturer#2|Brand#22|ECONOMY BURNISHED NICKEL|43|MED CASE|1071.15|aggle furiously i
16156|frosted coral bisque ghost peru|Manufacturer#2|Brand#21|MEDIUM PLATED COPPER|44|LG DRUM|1072.15|after the fluffily
16157|midnight peru dark gainsboro brown|Manufacturer#1|Brand#11|STANDARD BURNISHED NICKEL|38|MED BAG|1073.15|. ironic the
16158|peach violet pink rosy purple|Manufacturer#3|Brand#33|PROMO PLATED TIN|13|MED BAG|1074.15|tions detect furious
16159|spring coral medium mint cream|Manufacturer#3|Brand#34|SMALL PLATED STEEL|35|JUMBO PKG|1075.15|xes haggle furiou
16160|antique lemon pale lime white|Manufacturer#3|Brand#31|ECONOMY BURNISHED NICKEL|4|WRAP CASE|1076.16| deposits h
16161|floral grey medium midnight honeydew|Manufacturer#1|Brand#12|STANDARD ANODIZED COPPER|37|JUMBO DRUM|1077.16| iron
16162|sienna medium lemon forest green|Manufacturer#5|Brand#55|STANDARD POLISHED STEEL|26|JUMBO BAG|1078.16| carefull
16163|red chartreuse frosted orchid cyan|Manufacturer#5|Brand#55|SMALL POLISHED BRASS|2|JUMBO JAR|1079.16|the de
16164|lawn royal chartreuse seashell plum|Manufacturer#4|Brand#44|MEDIUM POLISHED BRASS|32|WRAP BOX|1080.16|ts. furiou
16165|lavender maroon moccasin lawn pink|Manufacturer#2|Brand#25|MEDIUM POLISHED BRASS|13|SM CAN|1081.16|lets. s
16166|blue honeydew azure purple violet|Manufacturer#3|Brand#31|MEDIUM POLISHED TIN|3|WRAP PKG|1082.16| nag. pending, ev
16167|tan midnight burnished khaki spring|Manufacturer#2|Brand#23|ECONOMY BRUSHED TIN|35|SM DRUM|1083.16|uiet, pending accou
16168|ghost azure turquoise white burnished|Manufacturer#4|Brand#42|MEDIUM ANODIZED BRASS|37|WRAP PKG|1084.16| sleep. quickl
16169|papaya azure maroon seashell lemon|Manufacturer#1|Brand#13|ECONOMY PLATED NICKEL|6|WRAP DRUM|1085.16|egular dependencies 
16170|peru lavender navajo metallic chartreuse|Manufacturer#1|Brand#11|ECONOMY POLISHED COPPER|41|MED DRUM|1086.17|ckages ha
16171|coral dim sandy turquoise ivory|Manufacturer#3|Brand#32|ECONOMY BURNISHED TIN|41|SM CASE|1087.17|le furio
16172|hot metallic navajo red papaya|Manufacturer#5|Brand#52|LARGE POLISHED TIN|7|LG PKG|1088.17|ully regular hockey 
16173|cornsilk moccasin tomato dim cyan|Manufacturer#1|Brand#11|PROMO PLATED BRASS|2|WRAP DRUM|1089.17|aringly final excus
16174|blue papaya snow grey chiffon|Manufacturer#3|Brand#32|STANDARD POLISHED BRASS|24|MED JAR|1090.17|kly silent excuses
16175|chiffon forest lime powder ghost|Manufacturer#2|Brand#22|PROMO ANODIZED TIN|45|LG PKG|1091.17|iously final accoun
16176|chiffon lemon misty chartreuse azure|Manufacturer#4|Brand#41|ECONOMY BURNISHED NICKEL|18|MED CASE|1092.17|fully bold accou
16177|moccasin indian bisque blush purple|Manufacturer#3|Brand#35|MEDIUM ANODIZED BRASS|9|JUMBO CAN|1093.17|aggle regu
16178|royal brown ivory saddle antique|Manufacturer#1|Brand#12|SMALL BURNISHED TIN|10|JUMBO BAG|1094.17|affix pending,
16179|coral almond papaya blue beige|Manufacturer#3|Brand#33|SMALL POLISHED TIN|23|WRAP PACK|1095.17|gular
16180|ivory powder burnished violet dodger|Manufacturer#4|Brand#44|LARGE ANODIZED NICKEL|29|SM CASE|1096.18| courts haggle afte
16181|thistle brown bisque seashell spring|Manufacturer#4|Brand#43|STANDARD POLISHED NICKEL|33|LG DRUM|1097.18|boost blithely accor
16182|olive magenta lime aquamarine grey|Manufacturer#3|Brand#35|STANDARD POLISHED NICKEL|28|JUMBO PACK|1098.18|enly express foxes al
16183|almond dodger blanched deep drab|Manufacturer#5|Brand#55|ECONOMY PLATED STEEL|44|LG DRUM|1099.18|among the ev
16184|light red tomato mint cornsilk|Manufacturer#3|Brand#32|SMALL BURNISHED COPPER|38|SM JAR|1100.18|special pinto beans
16185|purple lace yellow dodger cornflower|Manufacturer#5|Brand#55|MEDIUM POLISHED TIN|44|LG DRUM|1101.18|g the blithely
16186|moccasin drab puff ivory maroon|Manufacturer#1|Brand#13|ECONOMY POLISHED COPPER|4|SM PACK|1102.18|ously abov
16187|beige maroon blue burnished moccasin|Manufacturer#3|Brand#34|LARGE BRUSHED STEEL|31|MED CAN|1103.18|lyly express i
16188|lime navajo azure rosy navy|Manufacturer#5|Brand#55|SMALL POLISHED BRASS|43|MED CAN|1104.18|al realms will
16189|cornsilk moccasin dark floral dim|Manufacturer#4|Brand#41|PROMO POLISHED NICKEL|28|SM PKG|1105.18|uests sleep
16190|cornsilk brown rosy moccasin powder|Manufacturer#3|Brand#33|PROMO BRUSHED STEEL|1|MED PKG|1106.19|quickly silent ideas
16191|hot tomato rose dim dark|Manufacturer#4|Brand#43|STANDARD ANODIZED TIN|32|JUMBO DRUM|1107.19|egular id
16192|ivory dark tan tomato papaya|Manufacturer#2|Brand#24|MEDIUM BRUSHED STEEL|38|MED BOX|1108.19|iously e
16193|deep red tomato chartreuse aquamarine|Manufacturer#4|Brand#43|SMALL PLATED COPPER|49|LG PACK|1109.19|accounts. careful r
16194|smoke rosy cornsilk wheat orchid|Manufacturer#3|Brand#34|STANDARD ANODIZED STEEL|9|JUMBO BAG|1110.19| sleep. regula
16195|chartreuse coral beige hot lawn|Manufacturer#2|Brand#22|STANDARD ANODIZED BRASS|23|LG CASE|1111.19| wake bold depo
16196|sienna floral green rose coral|Manufacturer#1|Brand#14|STANDARD BURNISHED BRASS|49|MED DRUM|1112.19|to beans haggle along
16197|almond chartreuse sienna blue cream|Manufacturer#4|Brand#41|ECONOMY PLATED NICKEL|5|SM CAN|1113.19|al accounts. 
16198|cream linen blanched deep maroon|Manufacturer#4|Brand#43|PROMO BURNISHED STEEL|36|WRAP CASE|1114.19|e blithe
16199|peach plum olive puff chartreuse|Manufacturer#5|Brand#52|MEDIUM PLATED STEEL|48|SM JAR|1115.19|fluffily even packag
16200|lemon tomato gainsboro wheat black|Manufacturer#3|Brand#31|PROMO BRUSHED COPPER|42|WRAP JAR|1116.20|out the furi
16201|blanched powder turquoise navajo tomato|Manufacturer#4|Brand#42|SMALL POLISHED NICKEL|23|LG PKG|1117.20|requests 
16202|tan rosy indian olive aquamarine|Manufacturer#4|Brand#45|PROMO PLATED COPPER|29|MED PACK|1118.20|iously pending pac
16203|honeydew puff burnished dark chiffon|Manufacturer#3|Brand#32|PROMO ANODIZED TIN|13|SM PKG|1119.20|its cajole 
16204|coral frosted light linen blanched|Manufacturer#3|Brand#33|SMALL POLISHED TIN|13|JUMBO DRUM|1120.20|ctions m
16205|orchid goldenrod rose lawn blanched|Manufacturer#5|Brand#54|ECONOMY POLISHED BRASS|6|JUMBO PACK|1121.20|fluffily. blithely
16206|ghost dodger frosted rose black|Manufacturer#4|Brand#41|MEDIUM POLISHED STEEL|22|LG BAG|1122.20|. regular ideas are
16207|sandy grey ghost lavender frosted|Manufacturer#4|Brand#42|SMALL BRUSHED COPPER|38|JUMBO DRUM|1123.20|g deposits are flu
16208|sandy moccasin burnished chiffon black|Manufacturer#4|Brand#41|MEDIUM BURNISHED COPPER|12|WRAP DRUM|1124.20|c, fina
16209|tomato white aquamarine grey navajo|Manufacturer#2|Brand#21|LARGE BURNISHED COPPER|30|MED DRUM|1125.20|phins grow blithel
16210|tan coral blush cornsilk hot|Manufacturer#1|Brand#13|LARGE BURNISHED BRASS|28|JUMBO JAR|1126.21|ake car
16211|dark azure cornflower royal sky|Manufacturer#2|Brand#25|PROMO PLATED BRASS|41|MED BAG|1127.21|slyly theodolites
16212|plum pale seashell chartreuse brown|Manufacturer#5|Brand#55|MEDIUM BURNISHED BRASS|23|LG PACK|1128.21|ffily ev
16213|yellow antique seashell papaya orchid|Manufacturer#4|Brand#41|LARGE BRUSHED COPPER|15|SM PACK|1129.21|ctions. unusua
16214|ghost olive indian linen chartreuse|Manufacturer#4|Brand#44|STANDARD ANODIZED COPPER|15|SM CASE|1130.21| even dug
16215|ivory dark red aquamarine yellow|Manufacturer#4|Brand#43|STANDARD PLATED COPPER|39|WRAP BAG|1131.21|theodolites. fina
16216|mint cyan dark puff blue|Manufacturer#4|Brand#44|ECONOMY ANODIZED STEEL|20|MED PACK|1132.21|ld pack
16217|chiffon gainsboro royal orange bisque|Manufacturer#3|Brand#31|PROMO ANODIZED TIN|31|WRAP BOX|1133.21|ke past the e
16218|orange chocolate salmon thistle tomato|Manufacturer#5|Brand#52|SMALL POLISHED TIN|45|MED CAN|1134.21|requests may
16219|olive chocolate salmon azure blush|Manufacturer#5|Brand#53|PROMO BRUSHED TIN|1|LG BAG|1135.21|e fur
16220|royal tomato mint seashell midnight|Manufacturer#1|Brand#13|ECONOMY POLISHED STEEL|23|LG BAG|1136.22|ajole pendi
16221|indian steel firebrick frosted orchid|Manufacturer#3|Brand#31|SMALL ANODIZED NICKEL|33|LG PACK|1137.22|y final re
16222|chartreuse rosy frosted dodger red|Manufacturer#1|Brand#15|LARGE PLATED TIN|38|WRAP DRUM|1138.22|egular platelets
16223|blush yellow orchid magenta misty|Manufacturer#1|Brand#13|PROMO BURNISHED STEEL|30|LG CASE|1139.22|rve quickly furi
16224|chartreuse cornflower moccasin cream burnished|Manufacturer#3|Brand#33|STANDARD BURNISHED BRASS|41|WRAP DRUM|1140.22|lites? fl
16225|tomato magenta cornflower peru lime|Manufacturer#1|Brand#15|STANDARD PLATED NICKEL|4|LG JAR|1141.22|sy packages. s
16226|peru dodger brown spring cornsilk|Manufacturer#3|Brand#34|PROMO BURNISHED TIN|32|JUMBO BAG|1142.22|are at the carefull
16227|orchid floral yellow moccasin ghost|Manufacturer#5|Brand#53|ECONOMY BURNISHED NICKEL|3|WRAP PKG|1143.22|f the sly, express pa
16228|sandy medium aquamarine purple green|Manufacturer#3|Brand#35|PROMO BURNISHED STEEL|2|SM PKG|1144.22|ly pendin
16229|olive indian tomato seashell lawn|Manufacturer#1|Brand#15|MEDIUM POLISHED STEEL|2|LG CASE|1145.22|ly regular excuses
16230|royal dim black ivory midnight|Manufacturer#1|Brand#14|ECONOMY ANODIZED TIN|17|JUMBO BAG|1146.23|s. blithely
16231|magenta rosy cornsilk beige peru|Manufacturer#3|Brand#31|MEDIUM POLISHED STEEL|20|LG CASE|1147.23|the flu
16232|purple deep almond powder tomato|Manufacturer#1|Brand#14|ECONOMY ANODIZED STEEL|11|WRAP DRUM|1148.23|wake. slyly even 
16233|bisque moccasin royal navy orange|Manufacturer#3|Brand#34|MEDIUM POLISHED NICKEL|39|MED JAR|1149.23|ndencie
16234|forest deep coral burnished navajo|Manufacturer#1|Brand#14|ECONOMY BURNISHED BRASS|40|WRAP BAG|1150.23|ic theodolites haggl
16235|smoke brown steel snow almond|Manufacturer#4|Brand#42|PROMO PLATED COPPER|39|SM BOX|1151.23|never after the 
16236|orange aquamarine mint spring ghost|Manufacturer#4|Brand#44|STANDARD ANODIZED TIN|20|SM BOX|1152.23|structions dete
16237|lemon turquoise tan chocolate antique|Manufacturer#2|Brand#25|ECONOMY ANODIZED STEEL|18|MED JAR|1153.23|ending foxes. depen
16238|peru green bisque black puff|Manufacturer#3|Brand#34|SMALL ANODIZED TIN|30|SM CASE|1154.23|re bli
16239|firebrick sandy dim beige purple|Manufacturer#2|Brand#24|MEDIUM BRUSHED STEEL|42|WRAP BAG|1155.23|ronic deposits 
16240|midnight orange pink cyan burlywood|Manufacturer#2|Brand#25|PROMO BRUSHED TIN|4|MED CASE|1156.24|ithely silent depo
16241|sandy red pink steel azure|Manufacturer#1|Brand#13|ECONOMY BRUSHED BRASS|3|LG PKG|1157.24|un furiously
16242|lavender sienna blush purple chiffon|Manufacturer#2|Brand#23|STANDARD POLISHED COPPER|26|JUMBO CASE|1158.24|nal, bo
16243|lavender salmon mint honeydew slate|Manufacturer#2|Brand#24|SMALL PLATED NICKEL|40|JUMBO BAG|1159.24|encies 
16244|violet plum white rose lime|Manufacturer#4|Brand#41|MEDIUM BRUSHED COPPER|42|WRAP DRUM|1160.24|hely among
16245|azure bisque blue hot honeydew|Manufacturer#3|Brand#31|STANDARD BRUSHED COPPER|11|WRAP BOX|1161.24|e carefully af
16246|medium khaki lawn yellow orchid|Manufacturer#5|Brand#55|SMALL POLISHED NICKEL|42|WRAP CAN|1162.24|the quickly b
16247|plum linen chartreuse hot gainsboro|Manufacturer#2|Brand#23|MEDIUM PLATED BRASS|13|JUMBO CAN|1163.24|y ironic 
16248|moccasin burlywood metallic navy misty|Manufacturer#4|Brand#43|MEDIUM BURNISHED NICKEL|39|MED PKG|1164.24|mptotes are furiously 
16249|tan snow pale peach cornsilk|Manufacturer#4|Brand#42|STANDARD POLISHED BRASS|7|LG CAN|1165.24|nts. slyly
16250|royal tomato tan sienna lawn|Manufacturer#5|Brand#55|STANDARD PLATED NICKEL|48|JUMBO PKG|1166.25|quickly bo
16251|turquoise violet indian mint drab|Manufacturer#2|Brand#21|PROMO ANODIZED NICKEL|42|LG PACK|1167.25|eep furio
16252|powder drab coral blue yellow|Manufacturer#4|Brand#41|ECONOMY BURNISHED STEEL|38|LG PACK|1168.25|ts. ca
16253|antique turquoise cream linen drab|Manufacturer#2|Brand#24|PROMO BRUSHED NICKEL|24|SM BAG|1169.25|refully silent
16254|firebrick cornsilk burnished grey aquamarine|Manufacturer#2|Brand#25|PROMO POLISHED BRASS|23|WRAP PACK|1170.25| boost against
16255|yellow rosy blue firebrick moccasin|Manufacturer#3|Brand#32|STANDARD PLATED STEEL|44|MED DRUM|1171.25|xpress pinto be
16256|purple goldenrod sienna cornflower yellow|Manufacturer#1|Brand#11|ECONOMY BURNISHED NICKEL|46|JUMBO CAN|1172.25|ic platelets.
16257|powder moccasin violet black wheat|Manufacturer#4|Brand#45|STANDARD ANODIZED NICKEL|2|LG PACK|1173.25|slyly express acc
16258|indian blue sandy drab linen|Manufacturer#1|Brand#11|PROMO PLATED NICKEL|19|SM CAN|1174.25| deposits 
16259|thistle coral burnished blue dark|Manufacturer#2|Brand#25|PROMO ANODIZED NICKEL|24|JUMBO BAG|1175.25|nusual 
16260|rosy pale coral lawn navy|Manufacturer#5|Brand#53|LARGE BRUSHED TIN|25|WRAP BOX|1176.26| requests use f
16261|cream salmon steel sandy pale|Manufacturer#1|Brand#15|LARGE ANODIZED NICKEL|12|SM BAG|1177.26|regul
16262|misty cream frosted brown metallic|Manufacturer#5|Brand#54|STANDARD POLISHED NICKEL|5|MED PKG|1178.26|s are. blithely iro
16263|lawn bisque brown burlywood purple|Manufacturer#3|Brand#35|PROMO BURNISHED STEEL|44|MED BAG|1179.26|ironic package
16264|sky rose lace honeydew brown|Manufacturer#3|Brand#31|LARGE PLATED BRASS|32|LG PACK|1180.26|express accounts sleep
16265|olive navy tomato dodger snow|Manufacturer#5|Brand#54|MEDIUM BRUSHED STEEL|9|SM PACK|1181.26|y regular accounts?
16266|pink olive lace orchid blanched|Manufacturer#3|Brand#32|PROMO BRUSHED BRASS|46|JUMBO BOX|1182.26|ironic ideas haggle 
16267|wheat cornflower aquamarine medium cornsilk|Manufacturer#5|Brand#54|PROMO BURNISHED NICKEL|2|SM CASE|1183.26|eposits use
16268|rosy bisque slate red smoke|Manufacturer#3|Brand#34|ECONOMY BRUSHED NICKEL|30|WRAP DRUM|1184.26|nic idea
16269|sandy purple olive grey navy|Manufacturer#5|Brand#53|LARGE BURNISHED BRASS|32|MED PKG|1185.26| furiou
16270|violet linen khaki indian cornflower|Manufacturer#2|Brand#21|ECONOMY PLATED STEEL|43|WRAP JAR|1186.27|y permanen
16271|navajo drab blanched medium linen|Manufacturer#3|Brand#34|ECONOMY POLISHED NICKEL|2|SM JAR|1187.27| express asymptotes. c
16272|drab pale misty lawn purple|Manufacturer#3|Brand#32|MEDIUM POLISHED BRASS|1|WRAP CAN|1188.27|y packag
16273|floral olive beige azure firebrick|Manufacturer#3|Brand#35|ECONOMY BRUSHED TIN|11|MED CASE|1189.27|quickly. car
16274|powder azure aquamarine almond drab|Manufacturer#1|Brand#11|ECONOMY ANODIZED TIN|26|LG CASE|1190.27|packages. bl
16275|snow black plum saddle seashell|Manufacturer#4|Brand#44|MEDIUM BURNISHED COPPER|11|WRAP PKG|1191.27|ns wake 
16276|almond puff linen gainsboro orchid|Manufacturer#1|Brand#12|SMALL PLATED NICKEL|38|JUMBO CAN|1192.27|dolites are. slyl
16277|medium cornflower chartreuse navy mint|Manufacturer#4|Brand#41|ECONOMY BRUSHED BRASS|16|MED PKG|1193.27| accoun
16278|beige chiffon cornsilk sky powder|Manufacturer#5|Brand#55|PROMO PLATED STEEL|29|LG JAR|1194.27|kly regu
16279|pale almond linen floral snow|Manufacturer#5|Brand#54|ECONOMY BURNISHED COPPER|14|WRAP CASE|1195.27|eposi
16280|deep violet orange lace grey|Manufacturer#2|Brand#22|STANDARD ANODIZED TIN|20|JUMBO JAR|1196.28|ss reques
16281|linen blanched puff hot ivory|Manufacturer#2|Brand#23|SMALL POLISHED TIN|41|LG PACK|1197.28|wake against th
16282|sienna beige powder bisque lavender|Manufacturer#2|Brand#24|MEDIUM BRUSHED TIN|39|MED CASE|1198.28|iously e
16283|medium puff navy orchid cream|Manufacturer#1|Brand#14|PROMO BURNISHED STEEL|2|WRAP BOX|1199.28|ar ideas haggle 
16284|snow sandy chartreuse orchid mint|Manufacturer#3|Brand#31|MEDIUM PLATED COPPER|24|JUMBO BOX|1200.28| blithely
16285|puff peru gainsboro bisque papaya|Manufacturer#3|Brand#32|LARGE BRUSHED TIN|42|LG JAR|1201.28|rate 
16286|red orange honeydew burlywood chiffon|Manufacturer#1|Brand#13|MEDIUM ANODIZED BRASS|28|JUMBO PKG|1202.28|kages among th
16287|beige pale steel metallic yellow|Manufacturer#2|Brand#23|MEDIUM BRUSHED NICKEL|48|LG PACK|1203.28|s. blithely regular 
16288|cornflower rose salmon sky cornsilk|Manufacturer#1|Brand#13|MEDIUM POLISHED NICKEL|21|SM BOX|1204.28|eposits
16289|coral smoke frosted puff goldenrod|Manufacturer#3|Brand#32|MEDIUM BRUSHED BRASS|23|JUMBO DRUM|1205.28|lms. fluffily
16290|gainsboro blush navy chocolate blue|Manufacturer#1|Brand#14|PROMO PLATED BRASS|1|LG PACK|1206.29| hang care
16291|misty navy hot metallic tomato|Manufacturer#1|Brand#11|PROMO ANODIZED STEEL|4|WRAP JAR|1207.29|ggle fluffily ir
16292|lavender cyan rosy dim frosted|Manufacturer#5|Brand#54|LARGE PLATED TIN|29|LG BAG|1208.29|quickly eve
16293|misty smoke hot snow rosy|Manufacturer#4|Brand#42|LARGE PLATED TIN|43|MED DRUM|1209.29|ully regular theo
16294|ivory blue blanched bisque sandy|Manufacturer#5|Brand#51|STANDARD BRUSHED BRASS|34|WRAP DRUM|1210.29|aggle above the pac
16295|dim black pale forest floral|Manufacturer#4|Brand#41|ECONOMY PLATED STEEL|33|JUMBO CASE|1211.29|uriou
16296|smoke black ghost deep plum|Manufacturer#2|Brand#21|ECONOMY POLISHED BRASS|47|LG JAR|1212.29|d reque
16297|floral hot sandy ghost firebrick|Manufacturer#1|Brand#11|SMALL POLISHED TIN|42|MED CAN|1213.29|nal foxes. fluffy asym
16298|chiffon blush floral chocolate lawn|Manufacturer#3|Brand#35|PROMO BRUSHED COPPER|5|SM PACK|1214.29| packages nag slyl
16299|peru lavender antique honeydew gainsboro|Manufacturer#2|Brand#23|PROMO POLISHED TIN|41|WRAP DRUM|1215.29|. carefully final do
16300|burnished forest seashell papaya lawn|Manufacturer#5|Brand#52|ECONOMY BRUSHED COPPER|12|LG JAR|1216.30|sly f
16301|midnight tan wheat thistle magenta|Manufacturer#1|Brand#11|LARGE PLATED NICKEL|40|WRAP PKG|1217.30|eans cajole even
16302|rosy snow drab pale light|Manufacturer#3|Brand#34|STANDARD BURNISHED BRASS|8|WRAP BAG|1218.30|gular
16303|linen lemon sandy light puff|Manufacturer#3|Brand#35|MEDIUM POLISHED STEEL|30|LG BAG|1219.30|. quickly dogged ide
16304|misty magenta drab midnight sky|Manufacturer#2|Brand#25|MEDIUM PLATED NICKEL|37|JUMBO CASE|1220.30|theodo
